iter	Passed	Remaining
885	565272	5814773
886	565941	5814454
887	566451	5812508
888	566905	5809987
889	567423	5808126
890	568100	5807882
891	568731	5807182
892	569325	5806099
893	570106	5806926
894	570757	5806416
895	571446	5806300
896	572135	5806188
897	572714	5804953
898	573385	5804653
899	574001	5803794
900	574673	5803497
901	575348	5803237
902	575842	5801152
903	576501	5800729
904	577122	5799917
905	577745	5799134
906	578331	5797985
907	578936	5797015
908	579491	5795555
909	580109	5794720
910	580801	5794625
911	581339	5792995
912	582067	5793258
913	582594	5791525
914	583250	5791073
915	583930	5790854
916	584623	5790768
917	585287	5790396
918	586233	5792800
919	586900	5792453
920	587619	5792617
921	588304	5792443
922	588835	5790743
923	589495	5790328
924	590072	5789086
925	590593	5787303
926	591127	5785653
927	591739	5784761
928	592446	5784802
929	593010	5783446
930	593684	5783163
931	594307	5782378
932	595028	5782551
933	595591	5781186
934	596212	5780393
935	596752	5778809
936	597339	5777685
937	597899	5776298
938	598576	5776035
939	599189	5775167
940	599815	5774418
941	600437	5773630
942	601101	5773247
943	601832	5773510
944	602448	5772669
945	603066	5771845
946	603638	5770579
947	604225	5769456
948	604807	5768299
949	605363	5766881
950	605900	5765289
951	606576	5765021
952	607144	5763735
953	607914	5764355
954	608391	5762202
955	608975	5761059
956	609599	5760302
957	610308	5760344
958	610850	5758810
959	611526	5758539
960	612120	5757504
961	612706	5756385
962	613462	5756862
963	614109	5756316
964	614637	5754660
965	615409	5755292
966	616070	5754874
967	616709	5754252
968	617207	5752321
969	617706	5750403
970	618248	5748883
971	618908	5748462
972	619416	5746633
973	620086	5746302
974	620622	5744740
975	621325	5744710
976	621997	5744408
977	622562	5743109
978	623154	5742058
979	623910	5742527
980	624539	5741815
981	625241	5741781
982	625803	5740456
983	626444	5739857
984	627062	5739052
985	627734	5738742
986	628375	5738144
987	628940	5736854
988	629518	5735682
989	629998	5733622
990	630691	5733498
991	631235	5732023
992	631928	5731899
993	632607	5731649
994	633200	5730622
995	633783	5729504
996	634316	5727935
997	634930	5727095
998	635619	5726938
999	636156	5725408
1000	636650	5723494
1001	637177	5721875
1002	637724	5720442
1003	638180	5718199
1004	638858	5717946
1005	639400	5716466
1006	640100	5716406
1007	640736	5715772
1008	641463	5715954
1009	642022	5714639
1010	642635	5713794
1011	643174	5712303
1012	643699	5710688
1013	644388	5710530
1014	644983	5709534
1015	645672	5709369
1016	646369	5709282
1017	647013	5708716
1018	647622	5707846
1019	648150	5706263
1020	648806	5705814
1021	649469	5705420
1022	650118	5704904
1023	650619	5703086
1024	651409	5703808
1025	651983	5702627
1026	652515	5701090
1027	653034	5699444
1028	653734	5699374
1029	654331	5698404
1030	654929	5697444
1031	655614	5697237
1032	656237	5696498
1033	656887	5695987
1034	657483	5695016
1035	658022	5693549
1036	658567	5692135
1037	659339	5692680
1038	659987	5692156
1039	660571	5691074
1040	661183	5690243
1041	661877	5690116
1042	662675	5690878
1043	663263	5689836
1044	663819	5688518
1045	664461	5687939
1046	665147	5687738
1047	665795	5687218
1048	666372	5686084
1049	666922	5684718
1050	667446	5683141
1051	668103	5682688
1052	668777	5682386
1053	669434	5681936
1054	670053	5681166
1055	670656	5680258
1056	671280	5679524
1057	671946	5679157
1058	672417	5677138
1059	673137	5677212
1060	673868	5677388
1061	674503	5676752
1062	675106	5675851
1063	675812	5675805
1064	676500	5675612
1065	677236	5675828
1066	677955	5675893
1067	678497	5674478
1068	679104	5673607
1069	679869	5674053
1070	680581	5674051
1071	681274	5673901
1072	681975	5673809
1073	682631	5673341
1074	683216	5672283
1075	683851	5671647
1076	684347	5669856
1077	685107	5670251
1078	685846	5670466
1079	686561	5670485
1080	687051	5668649
1081	687510	5666560
1082	688108	5665614
1083	688636	5664097
1084	689277	5663507
1085	690035	5663885
1086	690728	5663722
1087	691445	5663755
1088	692037	5662757
1089	692596	5661503
1090	693275	5661220
1091	693986	5661198
1092	694625	5660594
1093	695194	5659413
1094	695711	5657821
1095	696464	5658138
1096	697039	5657014
1097	697591	5655698
1098	698087	5653940
1099	698750	5653527
1100	699336	5652495
1101	699879	5651113
1102	700514	5650479
1103	701136	5649736
1104	701861	5649824
1105	702340	5647934
1106	702871	5646461
1107	703580	5646423
1108	704195	5645624
1109	704884	5645428
1110	705575	5645239
1111	706325	5645521
1112	707001	5645213
1113	707700	5645084
1114	708293	5644114
1115	708911	5643343
1116	709625	5643330
1117	710207	5642275
1118	710728	5640731
1119	711433	5640648
1120	712091	5640199
1121	712695	5639316
1122	713315	5638560
1123	713857	5637187
1124	714496	5636582
1125	715024	5635105
1126	715658	5634464
1127	716238	5633396
1128	716893	5632915
1129	717431	5631519
1130	718054	5630788
1131	718575	5629263
1132	719230	5628790
1133	719921	5628593
1134	720559	5627979
1135	721183	5627261
1136	721815	5626606
1137	722543	5626696
1138	723086	5625345
1139	723587	5623671
1140	724096	5622061
1141	724707	5621240
1142	725288	5620190
1143	725952	5619786
1144	726595	5619217
1145	727283	5618992
1146	728056	5619429
1147	728663	5618582
1148	729264	5617688
1149	729887	5616960
1150	730538	5616448
1151	731109	5615330
1152	731772	5614912
1153	732472	5614777
1154	733048	5613692
1155	733620	5612579
1156	734189	5611440
1157	734814	5610736
1158	735493	5610440
1159	736149	5609969
1160	736827	5609661
1161	737463	5609040
1162	738001	5607668
1163	738695	5607488
1164	739244	5606203
1165	739908	5605792
1166	740617	5605722
1167	741182	5604560
1168	741688	5602954
1169	742274	5601949
1170	742779	5600344
1171	743376	5599422
1172	744183	5600094
1173	744701	5598580
